DateTime,NEE,Rg,Tair,VPD,Hour,DoY,Year,PPFD_1_1_1,SoilT
2020-05-04T14:30:00Z,0.2918874,-1.131726,-3.2116999999999507,0.6234843,5.5,125,2020,2.748936,0.06556666666669268
2020-05-04T15:00:00Z,0.5220347,6.754452,-3.2589999999999577,0.6317803,6,125,2020,17.08683,0.06610000000002476
2020-05-04T15:30:00Z,0.5634231,41.79027,-2.939899999999966,0.7095044,6.5,125,2020,61.46176,0.06610000000002476
2020-05-04T16:00:00Z,NA,94.06397,-2.0153999999999996,0.9034065,7,125,2020,147.0111,0.06556666666667373
2020-05-04T16:30:00Z,-0.1494401,154.3922,-0.6266999999999712,1.2922980000000002,7.5,125,2020,231.9328,0.06610000000002476
2020-05-04T17:00:00Z,-0.606606,222.2968,0.7141000000000304,1.68395,8,125,2020,286.3104,0.06666666666670078
2020-05-04T17:30:00Z,-0.7135078,239.0124,2.00690000000003,2.159641,8.5,125,2020,350.574,0.06610000000000582
2020-05-04T18:00:00Z,-0.6498466,362.9679,3.507000000000005,2.841607,9,125,2020,611.5018,0.06640000000002526
2020-05-04T18:30:00Z,-1.352684,431.2626,5.364100000000008,3.726937,9.5,125,2020,784.3618,0.06666666666668182
2020-05-04T19:00:00Z,-1.387999,495.5182,6.79060000000004,4.66599,10,125,2020,915.6513,0.06666666666668182
2020-05-04T19:30:00Z,-1.619832,554.8909,7.991300000000024,5.611081,10.5,125,2020,1037.1,0.06693333333335734
2020-05-04T20:00:00Z,-1.935123,612.6705,9.3519,6.924929,11,125,2020,1153.959,0.06640000000002526
2020-05-04T20:30:00Z,-2.532496,637.1767,10.36590000000001,7.782409,11.5,125,2020,1207.554,0.0664000000000063
2020-05-04T21:00:00Z,-2.707632,719.3079,11.251000000000033,8.202843,12,125,2020,1370.731,0.06666666666668182
2020-05-04T21:30:00Z,-2.095389,601.7889,11.302099999999996,8.267318,12.5,125,2020,1152.853,0.0664000000000063
2020-05-04T22:00:00Z,-2.159769,589.2274,11.955600000000004,9.262877999999999,13,125,2020,1120.898,0.06723333333335783
2020-05-04T22:30:00Z,-2.148339,574.7115,12.886900000000026,10.548589999999999,13.5,125,2020,1085.292,0.06666666666668182
2020-05-04T23:00:00Z,-2.013808,551.0702,12.5471,10.302349999999999,14,125,2020,1047.518,0.0664000000000063
2020-05-04T23:30:00Z,-2.25036,633.4698,13.2971,11.27261,14.5,125,2020,1204.112,0.06666666666668182
2020-05-05T00:00:00Z,-1.460811,452.9118,12.881000000000029,10.22944,15,125,2020,858.5212,0.06666666666668182
2020-05-05T00:30:00Z,-0.9269598,332.0898,12.455399999999997,9.509503,15.5,125,2020,623.9912,0.0664000000000063
2020-05-05T01:00:00Z,-1.234162,398.0545,12.783400000000029,9.743034,16,125,2020,750.8727,0.06666666666668182
2020-05-05T01:30:00Z,-1.035128,385.9519,13.043600000000026,10.0731,16.5,125,2020,732.6444,0.06666666666668182
2020-05-05T02:00:00Z,-1.358616,445.3685,13.474000000000046,10.626600000000002,17,125,2020,849.751,0.06666666666668182
2020-05-05T02:30:00Z,-0.6003167,334.4577,13.367700000000013,10.45818,17.5,125,2020,631.7151,0.06666666666668182
2020-05-05T03:00:00Z,-0.4698705,275.7318,13.14730000000003,9.947021,18,125,2020,520.7685,0.06666666666668182
2020-05-05T03:30:00Z,-0.6005671,286.1317,13.113100000000031,9.736642,18.5,125,2020,539.6257,0.06666666666668182
2020-05-05T04:00:00Z,-0.2224011,231.1931,12.766900000000021,9.265305,19,125,2020,437.3019,0.0664000000000063
2020-05-05T04:30:00Z,-0.01800694,159.5482,12.158500000000004,8.482989,19.5,125,2020,301.9367,0.0664000000000063
2020-05-05T05:00:00Z,0.2565952,117.7562,11.384299999999996,7.422703,20,125,2020,224.3296,0.06666666666668182
2020-05-05T05:30:00Z,NA,120.1044,10.398000000000025,6.450030000000001,20.5,125,2020,221.6429,0.06666666666668182
2020-05-05T06:00:00Z,NA,83.5548,9.65300000000002,5.412192,21,125,2020,148.4664,0.06693333333335734
2020-05-05T06:30:00Z,NA,42.89199,7.769300000000044,3.888975,21.5,125,2020,73.6519,0.06666666666668182
2020-05-05T07:00:00Z,-0.1157659,12.55294,6.112000000000023,3.246646,22,125,2020,26.86568,0.06666666666668182
2020-05-05T07:30:00Z,NA,0.2325615,5.156900000000007,2.8588959999999997,22.5,125,2020,5.123137,0.06723333333335783
2020-05-05T08:00:00Z,NA,-0.6494567,4.453300000000013,2.4828200000000002,23,125,2020,0.5177432,0.06723333333333888
2020-05-05T08:30:00Z,NA,-4.213429,4.351700000000051,2.320211,23.5,125,2020,0.07150417,0.06806666666669041
2020-05-05T09:00:00Z,NA,-10.71229,3.7139000000000237,1.9364519999999998,0,126,2020,0.03972455,0.06693333333335734
2020-05-05T09:30:00Z,NA,-15.4112,2.7719000000000165,1.5163300000000002,0.5,126,2020,0.05826268,0.0675000000000144
2020-05-05T10:00:00Z,NA,-15.468,2.7881000000000427,1.384541,1,126,2020,0.05031775,0.06666666666668182
2020-05-05T10:30:00Z,0.267026,-14.74887,2.5446000000000026,1.21141,1.5,126,2020,0.0450212,0.06693333333335734
2020-05-05T11:00:00Z,3.538621,-15.50657,1.920500000000004,0.9736066,2,126,2020,0.06355927,0.06693333333335734
2020-05-05T11:30:00Z,2.568584,-14.21356,1.4952000000000112,0.8292667,2.5,126,2020,0.05826273,0.06610000000000582
2020-05-05T12:00:00Z,NA,-12.38147,2.2216999999999985,1.009933,3,126,2020,0.0569385,0.06666666666668182
2020-05-05T12:30:00Z,0.4884887,-8.459546,2.5160999999999945,1.145264,3.5,126,2020,0.060911,0.06723333333335783
